  M = Q          ,    4152,     28804.00,     4139,     28685.00,  4110,     28475.00,     4111,     28475.00,
 Mini ATS        ,    2790,     32537.79,     2781,     32477.79,  2757,     32288.55,     2728,     32341.05,
 ölav÷ tel. apar ,     374,       140.74,      370,       139.14,   359,       134.74,      359,       134.74,
 Faks            ,    3498,      1724.08,     3468,      1709.58,  3434,      1692.58,     3409,      1680.00,
 Servis xidm÷tl÷r,   97831,     33955.28,    97470,     33831.03, 97042,     33681.23,    96726,     33570.58,
 IPTV (aah)      ,     640,      2464.00,      640,      2468.00,   633,      2440.00,      636,      2452.00,
 Texniki xidm÷t  ,   16027,      9352.59,    16004,      9338.79, 15923,      9289.59,    15904,      9277.23,
 Mýhafiz÷ siqnal ,      13,        65.00,       13,        65.00,    13,        65.00,       13,        65.00,
 Statik IP xid.  ,    1654,      8215.36,     1645,      8170.36,  1640,      8145.36,     1626,      8075.36,
 CDMA            ,    2358,     11510.00,     2352,     11442.50,  2335,     11362.50,     2312,     11192.50,
 IP tel.NGN (aah ,     148,       981.08,      154,      1027.58,   157,      1048.58,      139,       921.51,
 ADSL            ,   42540,    571367.60,    42912,    577599.60, 43003,    579021.60,    43069,    580372.55,
 Dig÷r provayder ,   11560,     22736.11,    11425,     22470.11, 11374,     22364.42,    11255,     22136.42,
 AIK Limitsizi   ,     413,     54549.95,      418,     54109.78,   417,     52565.29,      430,     54055.80,
 Sonraki h÷r Mb  ,     120,      1161.05,      120,      1161.05,   120,      1161.05,      120,      1161.05,
 GPON            ,    2390,      6390.00,     2421,      6438.00,  2447,      6399.00,     2464,      6720.50,
 Simsiz telefon  ,     110,       331.00,      111,       333.50,   110,       331.00,      113,       343.00,
C÷mi             ,     186618,    786285.63,   186443,    791466.81,185852,    790465.49 185391,    792674.29,                      ,
                 ,
